PROJECTNUMBER,ADDRESS,EUNNUMBER,CONSTRUCTIONSTARTTIME,CONSTRUCTIONENDTIME,REASON,EXTENSION,STREETCLOSURE,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTPHONE,
5808929,07200  WOODLAND AV,086042,06/17/2014 10:53:00,06/18/2014 10:53:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5765771,8500 FORREST AVE,086041,06/17/2014 10:42:00,06/25/2014 10:42:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873741,5333 CHARLES ST,086040,06/17/2014 10:36:00,06/25/2014 10:36:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873751,3100 LEVICK ST,086039,06/17/2014 10:29:00,06/18/2014 10:29:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5850671,910 W YORK ST,086038,06/17/2014 10:05:00,06/25/2014 10:05:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5789538,02100  FERNON ST,086037,06/17/2014 09:59:00,06/18/2014 09:59:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5789550,1634 S 28TH ST,086036,06/17/2014 09:50:00,06/18/2014 09:50:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5838035,1504 W GRANGE AVE,086035,06/17/2014 09:28:00,06/18/2014 09:28:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871889,9845 CLARK ST,086034,06/17/2014 09:11:00,06/20/2014 09:11:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871003,2330 FERNON ST,086033,06/17/2014 09:02:00,06/23/2014 09:02:00,Leak,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871882,3358 LIVINGSTON ST,086032,06/17/2014 08:56:00,06/22/2014 08:56:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868670,352 E GALE ST,086031,06/17/2014 08:48:00,06/25/2014 08:48:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5566334,02800  HOLME AV,086030,06/17/2014 08:46:00,06/25/2014 08:46:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871897,2609 FOLSOM ST,086029,06/17/2014 08:39:00,06/21/2014 08:39:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5780231,00400  GASKILL ST,086028,06/17/2014 08:39:00,06/18/2014 08:39:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873579,5407 TORRESDALE AVE,086027,06/17/2014 08:32:00,06/21/2014 08:32:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5846690,932 GRANITE ST,086026,06/17/2014 08:30:00,06/23/2014 08:30:00,Service Disruption,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5858167,02900 S 20 ST,086025,06/17/2014 08:28:00,06/25/2014 08:28:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5850562,02000  ANNIN ST,086024,06/17/2014 08:25:00,06/25/2014 08:25:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5850724,7700 GERMANTOWN AVE,086023,06/17/2014 08:21:00,06/18/2014 08:21:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5837618,2023 E ARIZONA ST,086022,06/17/2014 08:20:00,06/25/2014 08:20:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5748777,00800 E WESTMORELAND ST,086021,06/17/2014 08:17:00,06/25/2014 08:17:00,Service Disruption,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873308,2729 E BUTLER ST,086020,06/17/2014 08:11:00,06/25/2014 08:11:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871864,1930 MIFFLIN ST,086019,06/17/2014 08:10:00,06/23/2014 08:10:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5850968,2429 N 28TH ST,086018,06/17/2014 08:08:00,06/21/2014 08:08:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5461688,04800  AUBREY AV,086017,06/17/2014 08:07:00,06/25/2014 08:07:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5522453,"PGW Emergency 101 E OLNEY AVE,C14",086016,06/17/2014 08:06:00,06/25/2014 08:06:00,Service Disruption,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868411,6900 ROOSEVELT BLVD,086015,06/17/2014 07:59:00,07/03/2014 07:59:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873518,8000 ROWLAND AVE,086014,06/17/2014 07:59:00,06/27/2014 07:59:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873555,"PGW Emergency 2300 NAUDAIN ST,D",086013,06/17/2014 07:56:00,06/25/2014 07:56:00,Service Disruption,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868414,202 MIFFLIN ST,086012,06/17/2014 07:53:00,06/18/2014 07:53:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873555,"PGW Emergency 2300 NAUDAIN ST,D",086011,06/17/2014 07:48:00,06/25/2014 07:48:00,Service Disruption,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5873304,5333 CHARLES ST,086010,06/17/2014 07:42:00,06/24/2014 07:42:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5847821,2606 E ANN ST,086009,06/17/2014 06:22:00,06/18/2014 06:22:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5829442,"PGW Emergency 915 SPRING GARDEN ST,A",086008,06/17/2014 04:49:00,06/19/2014 04:49:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871003,2330 FERNON ST,086007,06/17/2014 03:52:00,06/20/2014 03:52:00,Leak,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871429,2624 N 17TH ST,086006,06/17/2014 00:24:00,06/25/2014 00:24:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869181,6245 WISTER ST,086005,06/17/2014 00:16:00,06/18/2014 00:16:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871267,2609 FOLSOM ST,086004,06/17/2014 00:12:00,06/22/2014 00:12:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869181,6245 WISTER ST,086003,06/16/2014 23:58:00,06/18/2014 23:58:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871003,2330 FERNON ST,086002,06/16/2014 23:46:00,06/18/2014 23:46:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869181,6245 WISTER ST,086001,06/16/2014 23:41:00,06/18/2014 23:41:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5790343,549 E HIGH ST,086000,06/16/2014 22:48:00,06/24/2014 22:48:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871308,1930 MIFFLIN ST,085999,06/16/2014 22:21:00,06/17/2014 22:21:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871429,2624 N 17TH ST,085998,06/16/2014 22:12:00,06/24/2014 22:12:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5871003,2330 FERNON ST,085997,06/16/2014 22:08:00,06/18/2014 22:08:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870851,02200 N DELHI ST,085996,06/16/2014 21:40:00,06/18/2014 21:40:00,Collapse,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870900,50 E PRICE ST,085995,06/16/2014 21:31:00,06/24/2014 21:31:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870855,3358 LIVINGSTON ST,085994,06/16/2014 19:58:00,06/21/2014 19:58:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5863583,8000 ROWLAND AVE,085993,06/16/2014 19:38:00,06/17/2014 19:38:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870740,2609 CATHARINE ST,085992,06/16/2014 19:30:00,06/24/2014 19:30:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870851,02200 N DELHI ST,085991,06/16/2014 19:02:00,06/21/2014 19:02:00,Collapse,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870652,00200  WOLF ST,085990,06/16/2014 18:18:00,06/24/2014 18:18:00,Leak,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870758,05100  FRANKFORD AV,085989,06/16/2014 18:06:00,06/20/2014 18:06:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5866741,6607 YOCUM ST,085988,06/16/2014 17:29:00,06/22/2014 17:29:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870352,01700  BROWN ST,085987,06/16/2014 16:33:00,06/20/2014 16:33:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870544,"PGW Emergency 1508 S 22ND ST,1F",085986,06/16/2014 16:25:00,06/20/2014 16:25:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870044,01800 W MOYAMENSING AV,085985,06/16/2014 16:15:00,06/21/2014 16:15:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870395,1937 72ND AVE,085984,06/16/2014 16:02:00,06/24/2014 16:02:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869684,"PGW Emergency 2340 S 12TH ST,1F",085983,06/16/2014 16:01:00,06/24/2014 16:01:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5710868,00700 S MARVINE ST,085982,06/16/2014 15:55:00,06/24/2014 15:55:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5831830,163 W RUSCOMB ST,085981,06/16/2014 15:05:00,06/17/2014 15:05:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870175,1423 CONLYN ST,085980,06/16/2014 14:47:00,06/28/2014 14:47:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5860500,03400  BLEIGH AV,085979,06/16/2014 14:39:00,06/22/2014 14:39:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5838341,"PGW Emergency 150 W EVERGREEN AVE,L1",085978,06/16/2014 14:22:00,06/17/2014 14:22:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869843,"PGW Emergency 165 E ALBANUS ST,2F",085977,06/16/2014 14:15:00,06/22/2014 14:15:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5840852,00100 N 63 ST,085976,06/16/2014 14:12:00,06/20/2014 14:12:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5780028,00200  FEDERAL ST,085975,06/16/2014 14:05:00,06/17/2014 14:05:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5789339,05600  RIDGE AV,085974,06/16/2014 14:01:00,06/17/2014 14:01:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5870044,01800 W MOYAMENSING AV,085973,06/16/2014 13:47:00,06/21/2014 13:47:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5779707,04900 S BROAD ST,085972,06/16/2014 13:41:00,06/17/2014 13:41:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5838332,773 SHAWMONT AVE,085971,06/16/2014 13:27:00,06/17/2014 13:27:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869924,00400  DUDLEY ST,085970,06/16/2014 13:12:00,06/17/2014 13:12:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5780256,"PGW Emergency 2338 FITZWATER ST,1F",085969,06/16/2014 13:09:00,06/17/2014 13:09:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5838335,211 E WASHINGTON LN,085968,06/16/2014 12:55:00,06/17/2014 12:55:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5780295,"PGW Emergency 2501 CHRISTIAN ST,401",085967,06/16/2014 12:47:00,06/17/2014 12:47:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5789287,300 E GORGAS LN,085966,06/16/2014 12:39:00,06/17/2014 12:39:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5842860,2522 GRAYS FERRY AVE,085965,06/16/2014 12:14:00,06/17/2014 12:14:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868413,225 W DURAND ST,085964,06/16/2014 12:12:00,06/24/2014 12:12:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869684,"PGW Emergency 2340 S 12TH ST,1F",085963,06/16/2014 12:09:00,06/24/2014 12:09:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869129,06200  ELMWOOD AV,085962,06/16/2014 12:08:00,06/26/2014 12:08:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869733,02700  ASH ST,085961,06/16/2014 12:04:00,06/21/2014 12:04:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5779751,"PGW Emergency 3700 WALNUT ST,24,GRAD SCH O",085960,06/16/2014 11:48:00,06/17/2014 11:48:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5838384,06800  WOOLSTON AV,085959,06/16/2014 11:37:00,06/17/2014 11:37:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5860147,226 W COULTER ST,085958,06/16/2014 11:29:00,06/20/2014 11:29:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869185,07800  BARTRAM AV,085957,06/16/2014 11:23:00,06/18/2014 11:23:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5846690,00900  GRANITE ST,085955,06/16/2014 11:10:00,06/22/2014 11:10:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5831340,7522 RUGBY ST,085956,06/16/2014 11:10:00,06/17/2014 11:10:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5869181,6245 WISTER ST,085954,06/16/2014 10:58:00,06/24/2014 10:58:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5778812,7149 CRITTENDEN ST,085953,06/16/2014 10:50:00,06/17/2014 10:50:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5866736,1719 MOHICAN ST,085952,06/16/2014 10:41:00,06/24/2014 10:41:00,Leak,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5785996,1738 E TULPEHOCKEN ST,085951,06/16/2014 10:37:00,06/17/2014 10:37:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5846111,609 COBBS CREEK PKWY,085950,06/16/2014 10:34:00,06/17/2014 10:34:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868770,"PGW Emergency 1300 PASSMORE ST,1F",085949,06/16/2014 10:30:00,06/24/2014 10:30:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5790343,549 E HIGH ST,085948,06/16/2014 10:18:00,06/24/2014 10:18:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5829987,6454 HAVERFORD AVE,085947,06/16/2014 10:17:00,06/17/2014 10:17:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5829988,1138 MARLYN RD,085946,06/16/2014 10:11:00,06/17/2014 10:11:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5865768,5333 CHARLES ST,085945,06/16/2014 10:04:00,06/24/2014 10:04:00,Leak,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868781,00100 W ERIE AV,085944,06/16/2014 09:50:00,06/17/2014 09:50:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5522453,"PGW Emergency 101 E OLNEY AVE,C14",085943,06/16/2014 09:46:00,06/24/2014 09:46:00,Service Disruption,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868752,00600 N 8 ST,085942,06/16/2014 09:33:00,06/24/2014 09:33:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5808918,01900  OREGON AV,085941,06/16/2014 09:29:00,06/24/2014 09:29:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5864054,219 E DURHAM ST,085940,06/16/2014 09:28:00,06/24/2014 09:28:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5863057,06000  CASTOR AV,085939,06/16/2014 09:24:00,06/21/2014 09:24:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868110,9845 CLARK ST,085938,06/16/2014 09:13:00,06/24/2014 09:13:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5833572,1819 W PACIFIC ST,085937,06/16/2014 09:10:00,06/17/2014 09:10:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5837618,2023 E ARIZONA ST,085936,06/16/2014 09:04:00,06/24/2014 09:04:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868764,00100 E ERIE AV,085935,06/16/2014 08:56:00,06/24/2014 08:56:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868733,01200  WALNUT ST,085934,06/16/2014 08:55:00,06/17/2014 08:55:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5864289,5407 TORRESDALE AVE,085933,06/16/2014 08:27:00,06/23/2014 08:27:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5867348,"PGW Emergency 4087 FORD RD,1F",085932,06/16/2014 08:26:00,06/22/2014 08:26:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868653,"PGW Emergency 2300 NAUDAIN ST,D",085931,06/16/2014 08:25:00,06/24/2014 08:25:00,Service Disruption,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5803955,01300 S 18 ST,085930,06/16/2014 08:24:00,06/20/2014 08:24:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5710868,00700 S MARVINE ST,085929,06/16/2014 08:22:00,06/24/2014 08:22:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5491921,02900  ABBOTTSFORD AV,085928,06/16/2014 08:17:00,06/24/2014 08:17:00,Service Disruption,Extension,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5840412,421 W ANNSBURY ST,085927,06/16/2014 08:17:00,06/22/2014 08:17:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5438962,6388 OVERBROOK AVE,085926,06/16/2014 08:15:00,06/24/2014 08:15:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5868653,"PGW Emergency 2300 NAUDAIN ST,D",085925,06/16/2014 08:11:00,06/24/2014 08:11:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5863583,8000 ROWLAND AVE,085924,06/16/2014 08:09:00,06/26/2014 08:09:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5866724,2729 E BUTLER ST,085923,06/16/2014 08:06:00,06/24/2014 08:06:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5566334,02800  HOLME AV,085922,06/16/2014 08:00:00,06/24/2014 08:00:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5866076,7201 GREENE ST,085921,06/16/2014 07:59:00,06/24/2014 07:59:00,Service Disruption,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5734884,816 N 4TH ST,085920,06/16/2014 07:36:00,06/24/2014 07:36:00,Service Disruption,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5867348,"PGW Emergency 4087 FORD RD,1F",085919,06/16/2014 02:43:00,06/22/2014 02:43:00,Leak,Original,Partial,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5866846,3610 JASPER ST,085918,06/16/2014 00:40:00,06/18/2014 00:40:00,Leak,Original,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,
5866801,04200  BALTIMORE AV,085917,06/16/2014 00:34:00,06/24/2014 00:34:00,Leak,Extension,Full,DISTRIBUTION DISPATCHER,PGW,215-684-6376,